wp_ID,wp_post_title,wp_post_name,cf__sku,cf__price,cf__regular_price,cf__sale_price,cf__stock
3238,Two Way Nail Art - Green,nail-art-green,NAIL007,4.99,4.99,,1
3250,Two Way Nail Art - Turquoise,nail-art-turquoise,NAIL017,4.99,4.99,,1
3399,Basic Party Dress in Black - Small,dress-black-small,BLDRS001,21.65,29.99,20,1
3343,Big Bubble Beaded Necklace - Red,beaded-necklace-red,NECK017,14.99,14.99,,1
3342,Big Bubble Beaded Necklace - Green,beaded-necklace-green,NECK016,14.99,14.99,,1
3401,Basic Party Dress in Black - Large,dress-black-large,BLDRS003,21.65,29.99,20,2
3341,Big Bubble Beaded Necklace - Baby Blue,necklace-baby-blue,NECK015,14.99,14.99,,1
3400,Basic Party Dress in Black - Medium,dress-black-medium,BLDRS002,21.65,29.99,20,1
3340,Big Bubble Beaded Necklace - Blue,beaded-necklace-blue,NECK014,14.99,14.99,,1
3425,Midnight Magic Lace Dress in Black - Medium,lace-dress-black-medium,SBDRS002,21.65,39.99,20,2
3424,Midnight Magic Lace Dressin Black - Small,lace-dressblack-small,SBDRS001,21.65,39.99,20,2
3440,Sexy Black Beach Dress - Medium,beach-dress-medium,BDDRS002,21.65,15.99,20,2
3441,Sexy Black Beach Dress - Large,beach-dress-large,BDDRS003,20,15.99,20,2
3418,Cascade Halter Neck Dress - 12,neck-dress-12,ODRH003,21.65,34.99,20,2
3416,Cascade Halter Neck Dress - 8,neck-dress-8,ODRH001,21.65,34.99,20,1
3439,Sexy Black Beach Dress - Small,beach-dress-small,BDDRS001,21.65,15.99,20,1
3417,Cascade Halter Neck Dress - 10,neck-dress-10,ODRH002,21.65,34.99,20,1
3432,Kaleidoscope Maxi Dress - Medium,kaleidoscope-maxi-medium,MDDRS002,21.65,39.99,20,1
3431,Kaleidscope Maxi Dress - Large,kaleidscope-maxi-large,MDDRS003,21.65,39.99,20,1
3412,Black Strapless Party Dress - Medium,black-strapless-dress,BBDRS002,21.65,19.99,20,1
3450,Fun Rainbow Loom Band Kit,loom-band-kit,LOOM001,14.95,14.95,,10
3430,Kaleidoscope Maxi Dress - Small,kaleidoscope-maxi-small,MDDRS001,21.65,39.99,20,2
3478,1 Pair x NISSAN Car Projector Laser LED Door Welcome Step Shadow Logo Light,1-pair-x-nissan-car-projector-laser-led-door-welcome-step-shadow-logo-light,ssan-car-projector-laser-led-door-welcome-step-shadow-logo-light,29.99,29.99,,0
3456,Fun Rainbow Loom Band Kit-EBAY,loom-band-ebay,LOOM002,9.5,9.5,,10
3454,Excellent condition PS3 console Playstation 3 120GB Console + 4 Games,excellent-condition-ps3-console-playstation-3-120gb-console-4-games,lent-condition-ps3-console-playstation-3-120gb-console---4-games,197.55,197.55,,0
3627,Red Sequined Party Dress - Medium,red-sequined-dress,RSD001,20,29.99,20,2
3798,1 Pair x DC 12V Vehicle Car FrontLight 8 LED DRL Day Time Running Lamp,1-pair-x-dc-12v-vehicle-car-frontlight-8-led-drl-day-time-running-lamp,-x-dc-12v-vehicle-car-frontlight-8-led-drl-day-time-running-lamp,7.99,7.99,,0
3800,"Lenovo Edge E530 Intel Core i5-3230M Laptop, 700GB HD Bluetooth",lenovo-edge-e530-intel-core-i5-3230m-laptop-700gb-hd-bluetooth,lenovo-edge-e530-intel-core-i5-3230m-laptop--700gb-hd-bluetooth,450,450,,0
3808,SKY BLUE Universal Magnetic PU Leather Case Cover Stand 7 Inch Tablet Android PC,sky-blue-universal-magnetic-pu-leather-case-cover-stand-7-inch-tablet-android-pc,CASE021,8.99,8.99,,0
3815,"Samsung SYNCMASTER 943B 19"" LCD Monitor",samsung-syncmaster-943b-19-lcd-monitor,samsung-syncmaster-943b-19--lcd-monitor,35,35,,0
3863,Swing Party Dress in White,swings-party-dress,SPDW003,34.99,34.99,,1
3228,Two Way Nail Art - Black,nail-art-black,NAIL001,4.99,4.99,,1
