wp_ID,wp_post_title,wp_post_name,cf__sku,Source
3426,Midnight Magic Lace Dress in Black - Large,lace-dress-black-large,SBDRS003,midnight-magic-lace-dress-black-large.html
3439,Sexy Black Beach Dress - Small,beach-dress-small,BDDRS001,sexy-black-beach-dress-small.html
3440,Sexy Black Beach Dress - Medium,beach-dress-medium,BDDRS002,sexy-black-beach-dress-medium.html
3441,Sexy Black Beach Dress - Large,beach-dress-large,BDDRS003,sexy-black-beach-dress-large.html
3387,Authentic Handmade Bag  - Grey,bag-grey,BAG008,handmade-bags-grey.html
3389,Authentic Handmade Bag (Large) - Pink,bag-large-pink,BAG009,handmade-bags-large-pink.html
3383,Authentic Handmade Bag  - Maroon,bag-maroon,BAG006,handmade-bags-maroon.html
3381,Authentic Handmade Bag (Mini) - Yellow,bag-mini-yellow,BAG004,handmade-bags-mini-yellow.html
3379,Authentic Handmade Bag (Mini) - Brown,bag-mini-brown,BAG003,handmade-bags-mini-brown.html
3377,Authentic Handmade Bag (Mini) - Pink,bag-mini-pink,BAG002,handmade-bags-mini-pink.html
3375,Authentic Handmade Bag (Mini) - Green,bag-mini-green,BAG001,handmade-bags-mini-green.html
3476,New fashion two different earrings top hat and boot,earrings-hat-boot,THB001,two-different-earrings.html
3460,Women's casual dangling earrings,casual-dangling-earrings,CDE001,women-s-casual-dangling-earrings.html
3452,5 X Assorted One Direction Silicon Bands,one-direction-bands,ONED001,5-x-assorted-one-direction-silicon-bands.html
3456,Fun Rainbow Loom Band Kit-EBAY,loom-band-ebay,LOOM002,fun-rainbow-loom-band-kit-ebay.html
3468,Women's retro vintage dangling earrings red,dangling-earrings-red,VER001,vintage-earrings-red.html
3474,Women's punk style silver earrings,punk-style-earrings,PSE001,punk-earrings-silver.html
3472,Women's beautiful bow shaped earrings gold,bow-shaped-earrings,BEG001,women-s-beautiful-bow-shaped-earrings-gold.html
3470,Women's vintage style dangling earrings orange,vintage-dangling-earrings,VSO001,vintage-earrings-orange.html
3458,Women's elegant black and gold dangle earrings,elegant-dangle-earrings,EBG001,dangle-earrings.html
3466,Women's casual half hoop earrings - Yellow,half-earrings-yellow,HHY001,hoop-earring-yellow.html
3464,Women's casual half hoop earrings - Blue,hoop-earrings-blue,HHB001,hoop-earring-blue.html
3462,Women's casual half hoop earrings - Pink,hoop-earrings-pink,HHP001,women-s-casual-half-hoop-earrings-pink.html
